ciclo_academico,edad,numero_discapacidades,aab1_nota,acdb1_nota,apeb1_nota,aab2_nota,acdb2_nota,apeb2_nota,Status_codificado,Sexo_codificado,tipo_de_est_programa_codificado,tipo_de_ingreso_codificado,estatus_curso_codificado,discapacidad_codificado,region_codificado,tipo_de_pago_codificado,descripcion_beca_codificado,descripcion_descuento_codificado,convenios_contratos_codificado,formas_pago_codificado,tipo_discapacidad_codificado,curso_codificado
4,32.0,0,3.06,3.15,3.0,2.69,3.5,2.6,0,0,0,0,0,0,0,2,0,0,0,10,4,20
5,23.0,0,2.39,3.4,1.28,0.0,1.5,0.0,1,0,0,0,0,0,0,1,0,0,0,21,4,22
5,23.0,0,2.56,2.0,0.75,0.25,1.8,1.01,1,0,0,0,0,0,0,1,0,0,0,21,4,24
5,23.0,0,1.81,2.0,0.8,0.24,3.5,-1.0,1,0,0,0,0,0,0,1,0,0,0,21,4,51
7,23.0,0,0.6,0.0,0.0,-1.0,0.0,2.25,1,0,0,0,0,0,0,1,0,0,0,21,4,1
3,23.0,0,2.47,3.5,3.0,2.88,3.5,3.0,0,0,0,0,0,0,0,3,0,0,0,21,4,15
3,23.0,0,2.44,2.9,3.0,3.06,3.5,3.0,0,0,0,0,0,0,0,3,0,0,0,21,4,18
3,23.0,0,3.05,3.5,3.0,2.44,3.5,3.0,0,0,0,0,0,0,0,3,0,0,0,21,4,16
3,23.0,0,2.25,3.5,3.0,2.31,3.5,3.0,0,0,0,0,0,0,0,3,0,0,0,21,4,41
3,23.0,0,3.1,3.5,2.75,2.9,3.5,3.0,0,0,0,0,0,0,0,3,0,0,0,21,4,17
3,23.0,0,3.38,3.5,2.74,3.38,3.3,3.0,0,0,0,0,0,0,0,3,0,0,0,21,4,48
4,23.0,0,2.4,-1.0,3.47,1.0,-1.0,-1.0,0,0,0,0,0,0,0,3,0,0,0,21,4,6
4,23.0,0,2.56,-1.0,3.15,1.0,-1.0,-1.0,0,0,0,0,0,0,0,3,0,0,0,21,4,21
4,23.0,0,2.53,-1.0,3.5,1.0,-1.0,-1.0,0,0,0,0,0,0,0,3,0,0,0,21,4,5
4,23.0,0,3.19,-1.0,3.5,1.0,-1.0,-1.0,0,0,0,0,0,0,0,3,0,0,0,21,4,20
5,23.0,0,1.94,3.2,0.0,1.69,3.5,0.0,1,0,0,0,0,0,0,1,0,0,0,21,4,8
